style,spec,term,coef_target,tstat_target,r2_target,adj_r2_target,coef,tstat,pvalue,nobs,r2,adj_r2,tstat_type,coef_diff,tstat_diff,r2_diff,adj_r2_diff,coef_abs_diff,tstat_abs_diff,same_coef_sign,target_sig_5pct,rep_sig_5pct,sig_match_5pct
Event Driven,model2,Intercept,0.0048,7.43,0.76,0.74,0.0052948208551539585,6.163077225420972,4.965917695271596e-09,180,0.6408463427972392,0.6240438325187474,ols,0.0004948208551539589,-1.2669227745790277,-0.11915365720276083,-0.11595616748125259,0.0004948208551539589,1.2669227745790277,True,True,True,True
Event Driven,model2,MKT-RF,0.1901,11.97,0.76,0.74,0.21920420118246897,10.375454074188989,7.17862000767195e-20,180,0.6408463427972392,0.6240438325187474,ols,0.02910420118246898,-1.594545925811012,-0.11915365720276083,-0.11595616748125259,0.02910420118246898,1.594545925811012,True,True,True,True
Event Driven,model2,SMB,0.071,4.05,0.76,0.74,0.08524382471229613,3.628422841867053,0.0003762818985727423,180,0.6408463427972392,0.6240438325187474,ols,0.014243824712296141,-0.4215771581329468,-0.11915365720276083,-0.11595616748125259,0.014243824712296141,0.4215771581329468,True,True,True,True
Event Driven,model2,DTERM,-0.0077,-2.49,0.76,0.74,-0.0014387498304591871,-0.34755131157182145,0.7286045887917953,180,0.6408463427972392,0.6240438325187474,ols,0.006261250169540813,2.142448688428179,-0.11915365720276083,-0.11595616748125259,0.006261250169540813,2.142448688428179,True,True,False,False
Event Driven,model2,DCREDIT,-0.0362,-7.37,0.76,0.74,-0.02457885388948336,-3.724937511430344,0.0002650880930218935,180,0.6408463427972392,0.6240438325187474,ols,0.011621146110516643,3.645062488569656,-0.11915365720276083,-0.11595616748125259,0.011621146110516643,3.645062488569656,True,True,True,True
Event Driven,model2,PTFSBD,-0.018,-4.06,0.76,0.74,-0.018971915550663326,-3.2343656634201343,0.0014634177985287469,180,0.6408463427972392,0.6240438325187474,ols,-0.0009719155506633277,0.8256343365798653,-0.11915365720276083,-0.11595616748125259,0.0009719155506633277,0.8256343365798653,True,True,True,True
Event Driven,model2,PTFSFX,0.0039,1.1,0.76,0.74,0.0012947521987043704,0.27458829886117947,0.783964011983889,180,0.6408463427972392,0.6240438325187474,ols,-0.0026052478012956294,-0.8254117011388207,-0.11915365720276083,-0.11595616748125259,0.0026052478012956294,0.8254117011388207,True,False,False,True
Event Driven,model2,PTFSCOM,-0.003,-0.6,0.76,0.74,-0.0016142920050340997,-0.2445360684478899,0.8071088487150996,180,0.6408463427972392,0.6240438325187474,ols,0.0013857079949659004,0.3554639315521101,-0.11915365720276083,-0.11595616748125259,0.0013857079949659004,0.3554639315521101,True,False,False,True
Event Driven,model2,Liquidity,0.5316,4.1,0.76,0.74,0.5277057425778039,3.028070357783495,0.0028425651885717516,180,0.6408463427972392,0.6240438325187474,ols,-0.003894257422196068,-1.0719296422165048,-0.11915365720276083,-0.11595616748125259,0.003894257422196068,1.0719296422165048,True,True,True,True
Fixed Income Arbitrage,model1,Intercept,0.0026,2.63,0.24,0.24,0.004354698343151898,2.9611979315363683,0.003485033885170696,180,0.10098952232611391,0.09083121184392318,ols,0.0017546983431518982,0.33119793153636845,-0.13901047767388608,-0.14916878815607681,0.0017546983431518982,0.33119793153636845,True,True,True,True
